,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
33103,8,875447.0,Spain,2010/2011,n,,395,87,30893.0,,172321.0,0,8633.0,1562924,348,goal,n,,,
33104,0,1506140.0,Spain,2013/2014,n,,71,28,213499.0,,46509.0,0,8633.0,3384994,16,goal,n,,,
33105,1,1506140.0,Spain,2013/2014,n,,71,53,26166.0,,31921.0,0,8633.0,3385036,17,goal,n,,,
33106,2,1506140.0,Spain,2013/2014,n,,71,56,26166.0,,191315.0,0,8633.0,3385039,18,goal,n,,,
33107,3,1506140.0,Spain,2013/2014,n,,71,85,205278.0,,213501.0,0,8633.0,3385056,19,goal,n,,,
33108,0,1778372.0,Spain,2014/2015,n,,6,44,,volley,164684.0,1,8633.0,4415879,192,goal,n,,,
33109,1,1778372.0,Spain,2014/2015,o,,115,49,,,113311.0,5,9865.0,4416297,292,goal,o,,,
33110,2,1778372.0,Spain,2014/2015,n,,721,85,70409.0,tap_in,37442.0,1,8633.0,4417078,394,goal,n,,,
33111,0,530219.0,Spain,2008/2009,n,,71,5,,,33639.0,0,8634.0,458445,21,goal,n,,,
33112,1,530219.0,Spain,2008/2009,n,,71,13,,,30626.0,0,8634.0,458450,22,goal,n,,,
33113,2,530219.0,Spain,2008/2009,n,,71,21,,,33639.0,0,8634.0,458452,23,goal,n,,,
33114,3,530219.0,Spain,2008/2009,n,,71,24,,,33639.0,0,8634.0,458453,24,goal,n,,,
33115,4,530219.0,Spain,2008/2009,n,,71,37,,,33988.0,0,8634.0,458456,27,goal,n,,,
33116,0,684674.0,Spain,2009/2010,n,,393,31,34304.0,shot,150250.0,4,8634.0,786576,187,goal,n,,,
33117,0,875950.0,Spain,2010/2011,n,,80,50,,shot,38581.0,4,9865.0,1495668,256,goal,n,,,
33118,1,875950.0,Spain,2010/2011,p,,20,53,,,30981.0,0,8634.0,1495684,261,goal,p,,,
33119,2,875950.0,Spain,2010/2011,n,,44,64,,header,172949.0,5,8634.0,1495737,277,goal,n,,,
33120,3,875950.0,Spain,2010/2011,n,,80,90,,shot,30981.0,1,8634.0,1495812,297,goal,n,2.0,,
33121,0,1506069.0,Spain,2013/2014,n,,71,9,,,50047.0,0,8634.0,3301955,22,goal,n,,,
33122,1,1506069.0,Spain,2013/2014,n,,71,23,,,30981.0,1,8634.0,3301963,23,goal,n,,,
33123,2,1506069.0,Spain,2013/2014,n,,71,26,38581.0,,280485.0,1,9865.0,3301967,26,goal,n,,,
33124,3,1506069.0,Spain,2013/2014,n,,71,83,,,30661.0,0,8634.0,3302042,28,goal,n,,,
33125,4,1506069.0,Spain,2013/2014,n,,71,89,150250.0,,39854.0,0,8634.0,3302049,30,goal,n,,,
33126,0,1778330.0,Spain,2014/2015,n,,393,33,195305.0,shot,30981.0,3,8634.0,4332497,215,goal,n,,,
33127,1,1778330.0,Spain,2014/2015,n,,393,55,33988.0,shot,40636.0,2,8634.0,4332696,388,goal,n,,,
33128,2,1778330.0,Spain,2014/2015,n,,406,75,39854.0,header,195305.0,1,8634.0,4332835,496,goal,n,,,
33129,3,1778330.0,Spain,2014/2015,dg,,303,90,,bicycle_kick,280483.0,8,9865.0,4332933,585,goal,dg,1.0,,
33130,4,1778330.0,Spain,2014/2015,n,,393,90,150250.0,shot,40636.0,14,8634.0,4332943,617,goal,n,3.0,,
33131,0,530138.0,Spain,2008/2009,n,,71,69,,,38044.0,0,8305.0,439092,26,goal,n,,,
33132,1,530138.0,Spain,2008/2009,n,,71,71,,,37471.0,0,8305.0,439093,22,goal,n,,,
33133,2,530138.0,Spain,2008/2009,n,,71,87,,,75310.0,0,9865.0,439301,27,goal,n,,,
